SEP=;
type;keyword;lemma;pos;relevance
word;strategies;strategy;null;3.802267191459447
word;optimal;optimal;null;3.6854922168944393
word;function;function;null;3.47652159142189
word;constraints;constraint;null;3.3471018856312877
word;value;value;null;3.3413575608234676
word;result;result;null;3.290959981749164
word;used;use;null;3.2124143647163064
word;mechanism;mechanism;null;3.2091042587097593
word;computed;compute;null;3.1889553166542255
word;distributions;distribution;null;3.1543979484117295
word;outcomes;outcome;null;3.145761514751936
word;defines;define;null;3.1379940413871537
word;analysis;analysis;null;3.1135376072261276
word;possible;possible;null;3.095782021064246
word;maximize;maximize;null;3.0487097671171535
word;individual;individual;null;2.9863740459462664
word;determine;determine;null;2.9777933479661187
word;assume;assume;null;2.9645083303451303
word;example;example;null;2.9437427659806845
word;consider;consider;null;2.9360168870131584
word;objective;objective;null;2.914829872316415
word;assumption;assumption;null;2.9072869708780633
word;theorem;theorem;null;2.9022840285483706
word;proof;proof;null;2.882070732220918
word;similarly;similarly;null;2.869812346594722
word;definitions;definition;null;2.8648820113711237
word;required;require;null;2.856195401567923
word;limits;limit;null;2.855218434154915
word;equilibrium;equilibrium;null;2.834659047185858
word;linear;linear;null;2.8337533035902602
word;probability;probability;null;2.810069793427145
word;attributes;attribute;null;2.788621599365807
word;preferences;preference;null;2.7810936321860034
word;particular;particular;null;2.773173003065593
word;achieving;achieve;null;2.7675254492042547
word;option;option;null;2.7633517534289704
word;maximum;maximum;null;2.743543318942774
word;incentive;incentive;null;2.736711650904632
word;provide;provide;null;2.72702753004694
word;variable;variable;null;2.7218445523953796
word;time;time;null;2.7096568740518996
word;make;make;null;2.7083283482495597
word;existing;exist;null;2.7041426124374968
word;furthermore;furthermore;null;2.7031350870182744
word;complexity;complexity;null;2.702512447071236
word;case;case;null;2.701305968482357
word;specifies;specify;null;2.6932375523323726
word;utility;utility;null;2.6883126600260043
word;total;total;null;2.6834870268582547
word;implies;imply;null;2.679728634713684
word;additional;additional;null;2.675768782989359
word;alternative;alternative;null;2.6744173129650757
word;scheme;scheme;null;2.663445048764994
word;allocation;allocation;null;2.6622580695708775
word;information;information;null;2.6588730682850135
word;competitive;competitive;null;2.6551668733206455
word;addition;addition;null;2.637421976557619
word;types;type;null;2.6301321438062177
word;multiple;multiple;null;2.6219082394672393
word;approximation;approximation;null;2.6209504472494083
word;specific;specific;null;2.619399489308511
word;feasible;feasible;null;2.6075897764720453
word;based;base;null;2.6056724838621377
word;users;user;null;2.5911515687884963
word;corresponding;correspond;null;2.590892587657802
word;inequality;inequality;null;2.5908253757012476
word;recommendations;recommendation;null;2.5859574270400083
word;efficiency;efficiency;null;2.567772807953592
word;valuations;valuation;null;2.567515559532043
word;restricted;restrict;null;2.5606106878935826
word;involved;involve;null;2.552002897520451
word;actual;actual;null;2.5510659177905857
word;representation;representation;null;2.547296552755052
word;necessarily;necessarily;null;2.527263849243368
word;consistent;consistent;null;2.525044515141332
word;typically;typically;null;2.519861498208738
word;ratio;ratio;null;2.508189858836513
word;payoff;payoff;null;2.5068850516271164
word;minimal;minimal;null;2.5046234901439086
word;efficient;efficient;null;2.503806480668257
word;dynamics;dynamic;null;2.499875717301118
word;representing;represent;null;2.4947507124106485
word;designing;design;null;2.4911341748186144
word;obtained;obtain;null;2.4903378459002523
word;significant;significant;null;2.4884783094701537
word;algorithm;algorithm;null;2.4845188737752264
word;initial;initial;null;2.477873497945037
word;social;social;null;2.474691284557354
word;specifically;specifically;null;2.471549554495262
word;order;order;null;2.4641646187752295
word;sequence;sequence;null;2.4588539939012137
word;approximate;approximate;null;2.456028441563451
word;necessary;necessary;null;2.4540454106603415
word;component;component;null;2.446704894619567
word;ensure;ensure;null;2.4439621412129577
word;vector;vector;null;2.442608674699061
word;arbitrary;arbitrary;null;2.4425391558259673
word;ratings;rating;null;2.43997772972608
word;analyzing;analyze;null;2.439034693337264
word;implementation;implementation;null;2.43875511402124
word;evaluating;evaluate;null;2.4373427388701794
word;items;item;null;2.4351723420943223
word;valid;valid;null;2.4328546624437375
word;generalized;generalize;null;2.4321786128354255
word;denoted;denote;null;2.428270432654087
word;method;method;null;2.4247920996345544
word;instance;instance;null;2.4195619199839626
word;terms;term;null;2.414563554620992
word;prior;prior;null;2.412086664439645
word;relevant;relevant;null;2.40470761660402
word;implemented;implement;null;2.399216770386479
word;dominance;dominance;null;2.398825638357191
word;modification;modification;null;2.3987485381304174
word;unit;unit;null;2.3982626912312788
word;program;program;null;2.393248103268676
word;selected;select;null;2.3926360155835806
word;assigns;assign;null;2.391212984961319
word;desirable;desirable;null;2.3867171733099197
word;basic;basic;null;2.3809006444005822
word;essentially;essentially;null;2.37843400335612
word;applies;apply;null;2.378064389596144
