SEP=;
type;keyword;lemma;pos;relevance
word;optimal;optimal;JJ;5.182042704379911;
word;strategies;strategy;NN;5.027678499865203;
word;computed;compute;VB;4.969986579371905;
word;distributions;distribution;NN;4.9451311627230865;
word;constraints;constraint;NN;4.74692096315402;
word;function;function;NN;4.667468288757843;
word;analysis;analysis;NN;4.58765037319908;
word;users;user;NN;4.51543549894507;
word;probability;probability;NN;4.337391683708545;
word;relevant;relevant;JJ;4.319157438936507;
word;multiple;multiple;JJ;4.302225260508625;
word;value;value;NN;4.286936777891741;
word;evaluating;evaluate;VB;4.227773529593389;
word;evaluations;evaluation;NN;4.197606056966878;
word;implementation;implementation;NN;4.142436263348304;
word;dynamic;dynamic;JJ;4.119910072672739;
word;component;component;NN;4.11916672394427;
word;defines;define;VB;4.108832270885611;
word;data;datum;NN;4.108409170088753;
word;linear;linear;JJ;4.074544329151155;
word;parameter;parameter;NN;4.03411473317415;
word;maximize;maximize;VB;4.0332014706104795;
word;variables;variable;NN;4.009889115895122;
word;vector;vector;NN;4.000311312202716;
word;algorithm;algorithm;NN;3.9992547231744684;
word;updated;update;VB;3.9933910749854182;
word;objective;objective;JJ;3.9644313143179923;
word;information;information;NN;3.9501299671076024;
word;interactions;interaction;NN;3.9488762381732507;
word;specifies;specify;VB;3.9428210535327;
word;definitions;definition;NN;3.912119452054716;
word;computation;computation;NN;3.909912539101592;
word;complexity;complexity;NN;3.902587744983989;
word;networks;network;NN;3.8973195455646077;
word;mechanism;mechanism;NN;3.8884061505416003;
word;context;context;NN;3.873405434604185;
word;specific;specific;JJ;3.8641756198180124;
word;initial;initial;JJ;3.8634425046230283;
word;result;result;NN;3.858398294418436;
word;theorem;theorem;NN;3.81997649509519;
word;Maximum;maximum;NN;3.816705515838109;
word;corresponding;correspond;VB;3.800042113341402;
word;limits;limit;NN;3.7897542066481007;
word;performance;performance;NN;3.7840812543481617;
word;Furthermore;furthermore;RB;3.7802164730750887;
word;applications;application;NN;3.760436513379374;
word;individual;individual;JJ;3.755016494847908;
word;determine;determine;VB;3.748945315499536;
word;Specifically;specifically;RB;3.7344014180156497;
word;method;method;NN;3.7327188545755114;
word;additional;additional;JJ;3.7247228253312685;
word;approximate;approximate;JJ;3.7215268849463183;
word;processing;process;NN;3.704820779746356;
word;accuracy;accuracy;NN;3.703334795648321;
word;addition;addition;NN;3.7028993146590246;
word;assumption;assumption;NN;3.6949212010125834;
word;domain;domain;NN;3.6883296744240974;
word;significant;significant;JJ;3.6875999779452506;
word;actual;actual;JJ;3.6850168174286524;
word;Similarly;similarly;RB;3.672222205622047;
word;representation;representation;NN;3.6540419922551868;
word;typically;typically;RB;3.6517502169985585;
word;achieving;achieve;VB;3.641258521724615;
word;appropriate;appropriate;JJ;3.6325222988548407;
word;random;random;JJ;3.631017100082597;
word;alternative;alternative;NN;3.6253449412712793;
word;types;type;NN;3.608057748178429;
word;total;total;JJ;3.6017073939566373;
word;input;input;NN;3.5932335912522744;
word;consistent;consistent;JJ;3.5926016148764823;
word;entities;entity;NN;3.5812138605098935;
word;required;require;VB;3.5657272751806084;
word;attributes;attribute;NN;3.564309351264085;
word;minimal;minimal;JJ;3.5592640206072588;
word;Systems;system;NN;3.557973778382146;
word;aggregate;aggregate;JJ;3.5473797190899488;
word;sequence;sequence;NN;3.5322122319401683;
word;correlation;correlation;NN;3.517802309186168;
word;scenarios;scenario;NN;3.516957458028509;
word;option;option;NN;3.5072499201553504;
word;effectiveness;effectiveness;NN;3.5059088221523953;
word;indexes;index;NN;3.502015871054196;
word;utility;utility;NN;3.499977294960206;
word;techniques;technique;NN;3.4890307641048386;
word;Based;base;VB;3.4841278649935585;
word;basic;basic;JJ;3.463790020439245;
word;framework;framework;NN;3.462130012203803;
word;ratio;ratio;NN;3.4608870019018507;
word;implemented;implement;VB;3.460487175148957;
word;scheme;scheme;NN;3.4575512998312257;
word;possible;possible;JJ;3.4501394540741286;
word;procedure;procedure;NN;3.4454444594457683;
word;communication;communication;NN;3.4365025867168812;
word;significantly;significantly;RB;3.4260711568896864;
word;modification;modification;NN;3.4215923702449307;
word;analyzing;analyze;VB;3.41564833160262;
word;concept;concept;NN;3.4114998692525633;
word;Management;management;NN;3.4042638611133125;
word;overall;overall;JJ;3.395320693608302;
word;Proof;proof;NN;3.388149065139065;
word;structure;structure;NN;3.380450219797791;
word;particular;particular;JJ;3.3798889875838642;
word;feedback;feedback;NN;3.379786658561769;
word;requirement;requirement;NN;3.374584834121011;
word;equations;equation;NN;3.374462203103289;
word;aspects;aspect;NN;3.3692839452848564;
word;model;model;NN;3.3676693875056354;
word;factors;factor;NN;3.3667954603010144;
word;approximation;approximation;NN;3.360215653400134;
word;denoted;denote;VB;3.3372386511035317;
word;settings;setting;NN;3.3330236970428064;
word;improvements;improvement;NN;3.3285774251229636;
word;ensure;ensure;VB;3.3250109199416764;
word;currently;currently;RB;3.317577144206219;
word;outcomes;outcome;NN;3.308475283635607;
word;selected;select;VB;3.3079815944787647;
word;Proceedings;proceeding;NN;3.30789688261829;
word;effective;effective;JJ;3.3033952515744778;
word;assume;assume;VB;3.300114737888706;
word;essentially;essentially;RB;3.2955719356333417;
word;efficiency;efficiency;NN;3.290998327165849;
word;valid;valid;JJ;3.290705708033906;
word;policy;policy;NN;3.2888739629540833;
word;available;available;JJ;3.2786089070255944;
word;outputs;output;NN;3.2772849999448885;
word;previously;previously;RB;3.276207618420814;
word;representing;represent;VB;3.2605449811945215;
word;dimensions;dimension;NN;3.2565830952764676;
word;unit;unit;NN;3.256175462557116;
word;provide;provide;VB;3.255332049896814;
word;program;program;NN;3.254402293093684;
word;design;design;NN;3.242528198645267;
word;deviation;deviation;NN;3.2407543370929845;
word;profile;profile;NN;3.2391175446374;
word;efficient;efficient;JJ;3.2390639353329553;
word;technical;technical;JJ;3.230044484866276;
word;Target;target;NN;3.2268473101907995;
word;participants;participant;NN;3.2228149484298325;
word;underlying;underlie;VB;3.2046693863622924;
word;limitations;limitation;NN;3.193082444229259;
word;used;use;VB;3.192591397962104;
word;initially;initially;RB;3.1896388525667074;
word;restricted;restrict;JJ;3.1841989146193264;
word;empirical;empirical;JJ;3.177634396685362;
word;goal;goal;NN;3.1758550622591653;
word;allocation;allocation;NN;3.166648268109802;
word;global;global;JJ;3.1628499068117377;
word;incorporating;incorporate;VB;3.1616002195248036;
word;computational;computational;JJ;3.1611047185786716;
word;desirable;desirable;JJ;3.160522170845533;
word;necessarily;necessarily;RB;3.155971438870887;
word;explicit;explicit;JJ;3.155786038647066;
word;estimation;estimation;NN;3.152032468135204;
word;transactions;transaction;NN;3.1500927047298877;
word;interfaces;interface;NN;3.1483338930384597;
word;mode;mode;NN;3.145496186666946;
word;assigns;assign;VB;3.145226685355394;
word;bias;bias;NN;3.142109196342954;
word;obtained;obtain;VB;3.1414033384813167;
word;scope;scope;NN;3.1401741042963596;
word;Preferences;preference;NN;3.1332016892462997;
word;basis;basis;NN;3.119459017682084;
word;applies;apply;VB;3.1069832588934565;
word;error;error;NN;3.1057697569289986;
word;generated;generate;VB;3.1024524134734306;
word;positive;positive;JJ;3.0961657042607484;
word;items;item;NN;3.095368720733074;
word;feasible;feasible;JJ;3.091005775671875;
word;equilibrium;equilibrium;NN;3.0907433258317534;
word;selection;selection;NN;3.0893067215245074;
word;terms;term;NN;3.087472121532519;
word;minimized;minimize;VB;3.086700610337194;
word;benefit;benefit;NN;3.084311226374021;
word;facilitating;facilitate;VB;3.0841054505571117;
word;consequently;consequently;RB;3.0778074985313677;
word;implies;imply;VB;3.077216429334408;
word;involved;involve;VB;3.070319580546822;
word;transitions;transition;NN;3.0681819888854327;
word;extension;extension;NN;3.0668255054675173;
word;priority;priority;NN;3.066162176353654;
word;existing;exist;VB;3.0585299021051253;
word;prior;prior;JJ;3.056507476536397;
word;specification;specification;NN;3.0564586055776606;
word;capability;capability;NN;3.0536054125094254;
word;matrix;matrix;NN;3.049932245051992;
word;enables;enable;VB;3.035564364650612;
word;previous;previous;JJ;3.03496153373717;
word;section;section;NN;3.0322798352831084;
word;applicable;applicable;JJ;3.0228094820672244;
word;necessary;necessary;JJ;3.0145823433804697;
word;simulations;simulation;NN;3.014208913918083;
word;relevance;relevance;NN;3.006455196993364;
word;number;numb;NN;3.0035547863589516;
word;correlates;correlate;VB;3.0034003068174204;
word;potential;potential;JJ;2.9978300009778662;
word;connections;connection;NN;2.9955432884747886;
word;distributed;distribute;VB;2.9894709177703684;
word;variance;variance;NN;2.9871426584724396;
word;calculate;calculate;VB;2.987087165117262;
word;classification;classification;NN;2.9851512645008986;
word;effectively;effectively;RB;2.9792219010738155;
word;standard;standard;JJ;2.9771168543245663;
word;International;international;NN;2.975475263082272;
word;similar;similar;JJ;2.969636858140766;
word;statistical;statistical;JJ;2.9664181538174503;
word;flexibility;flexibility;NN;2.9661491498758763;
word;experimental;experimental;JJ;2.961030006884052;
word;Perspectives;perspective;NN;2.9577796709910014;
word;impact;impact;NN;2.949933509872589;
word;arbitrary;arbitrary;JJ;2.9485115399739565;
word;focuses;focus;VB;2.9476216374920354;
word;Adaptive;adaptive;JJ;2.9438734684342727;
word;centralized;centralize;JJ;2.9382242329114803;
word;simplify;simplify;VB;2.933465456109057;
word;access;access;NN;2.9334095849934974;
word;measure;measure;NN;2.930445758383783;
word;case;case;NN;2.928191592254313;
word;task;task;NN;2.927814978671104;
word;Combining;combine;VB;2.9184420776763744;
word;theoretical;theoretical;JJ;2.916241926313977;
word;knowledge;knowledge;NN;2.9117580892457506;
word;integrated;integrate;VB;2.910497743967922;
word;coordinates;coordinate;VB;2.909337906134531;
word;combination;combination;NN;2.906676578149072;
word;grid;grid;NN;2.9007639706218016;
word;partial;partial;JJ;2.8959701424921067;
word;various;various;JJ;2.893230289653022;
word;relations;relation;NN;2.8907639574670343;
word;depend;depend;VB;2.886582602026225;
word;semantics;semantic;NN;2.8862312490702324;
word;comparison;comparison;NN;2.8845600406581475;
word;Document;document;NN;2.882172595123963;
word;feature;feature;NN;2.881743379911926;
word;respective;respective;JJ;2.8808142010293007;
word;decreased;decrease;VB;2.870971581278563;
word;Namely;namely;RB;2.8684718763818937;
word;analyses;analyse;NN;2.866490416793213;
word;prediction;prediction;NN;2.864028835383675;
word;issue;issue;NN;2.8628308661720414;
word;assessment;assessment;NN;2.861161774300244;
word;cost;cost;NN;2.8589155856998314;
word;research;research;NN;2.8587651298411267;
word;accurate;accurate;JJ;2.858675261180209;
word;implicit;implicit;JJ;2.856177405633357;
word;increasing;increase;VB;2.8509569073666636;
word;marginal;marginal;JJ;2.84824076558084;
word;recommendations;recommendation;NN;2.846849790204966;
word;technology;technology;NN;2.844177701045317;
word;contribution;contribution;NN;2.8387472423127837;
word;utilize;utilize;VB;2.837271746054954;
word;related;relate;JJ;2.83624098433896;
word;formulas;formula;NN;2.834616221391002;
word;relationship;relationship;NN;2.8337403648739654;
word;direct;direct;JJ;2.8328575246754686;
word;norm;norm;NN;2.8252709602997577;
word;demonstrates;demonstrate;VB;2.8201921374575196;
word;continuous;continuous;JJ;2.8129946715070364;
word;maintain;maintain;VB;2.8115467404067584;
word;Software;software;NN;2.8099133990509895;
word;consider;consider;VB;2.803623757932916;
word;consideration;consideration;NN;2.801523992639797;
word;levels;level;NN;2.7968548929783315;
word;behavior;behavior;NN;2.795234368356875;
word;minimum;minimum;JJ;2.7941565172716945;
word;category;category;NN;2.791726413302051;
word;indicate;indicate;VB;2.7913136483691403;
word;discrete;discrete;JJ;2.790140633790145;
word;simultaneously;simultaneously;RB;2.788286253454167;
word;detection;detection;NN;2.7880563613401477;
word;generally;generally;RB;2.7857288084013185;
word;quality;quality;NN;2.7795867398452376;
