SEP=;
lemma;nr_occ;relevance;
agent;9118;2405.101269880404;
system;4908;1905.5902042464447;
result;4141;1905.4216516310264;
model;4760;1602.552429868654;
information;3936;1403.4639789980815;
section;2789;1227.4910698782844;
problem;3107;1181.114121538691;
algorithm;3529;1175.4488923977788;
example;2342;1150.870995172475;
query;5522;1081.399260658639;
function;3122;1073.8274004478744;
consider;2080;1045.0692550044969;
provide;2129;994.7650802931821;
datum;2919;935.6376559524958;
base;1796;865.8857819996734;
define;1947;864.609729566091;
approach;2027;843.8059444113845;
node;4537;811.7852214833379;
assume;1537;767.3529694602403;
network;2640;711.7107308378957;
compute;1779;704.2889441605762;
method;2262;703.1377487040704;
process;1808;702.3715479718608;
require;1373;685.5887098330029;
strategy;2828;661.5511773514012;
user;3035;654.5690420468859;
performance;1950;645.8375912490022;
document;3261;593.5097196231144;
type;1872;588.0121630706308;
represent;1344;585.4115676797085;
mechanism;2119;567.1914540924218;
exist;1126;557.9040919027143;
solution;1786;549.2562956059488;
include;1044;547.4744398917854;
increase;1149;502.64319285055717;
obtain;1076;496.131171504342;
correspond;1089;488.9469757792267;
probability;1758;483.861228802553;
perform;1141;482.02123194868716;
show;940;473.54802973392947;
optimal;1641;472.9430698248719;
contain;1147;470.01928935969045;
propose;1128;469.49426350054966;
distribution;1521;464.8646346404158;
similar;866;459.12470560650064;
determine;928;439.05777310145044;
design;1093;437.79425177674665;
apply;836;431.2528823479643;
application;1346;430.6030291922579;
achieve;879;410.1780770891719;
structure;1189;405.6571144910625;
particular;774;394.48874886286615;
denote;1059;392.66761396942775;
support;914;381.27305025058047;
total;1010;373.34031369324794;
distribute;1143;372.5319666450483;
resource;2018;371.6081446271621;
current;890;366.9471093414931;
available;836;366.73385491872745;
experiment;1045;362.19809510523794;
property;924;355.64527196988183;
average;1108;350.14835058018053;
utility;1503;348.4889670145723;
technique;858;346.8262918810476;
definition;1029;337.23157322996667;
event;2221;336.46816394916965;
previous;694;334.44836556883416;
issue;820;331.9411836288285;
parameter;892;327.5473307580546;
multiple;687;326.31714805971;
analysis;764;325.76285277134195;
limit;746;325.5462325793995;
condition;900;324.84580681256716;
environment;1087;318.8115970634116;
vector;1341;318.4565796483761;
generate;843;317.45616115326675;
future;630;313.6069010140347;
reduce;708;312.3630593476533;
research;765;311.02496575611735;
introduce;611;310.71264226236565;
constraint;1057;310.59435061282744;
relate;675;310.54619696279366;
discuss;614;305.9599847442213;
observe;681;300.91933580967645;
satisfy;938;300.5370924681279;
evaluate;651;296.31376448223074;
action;1303;294.45478694591986;
feature;1277;293.4274319092139;
context;931;292.52198657550935;
accord;679;292.4455934097404;
domain;1166;288.1892428948584;
local;1088;285.86017217660446;
implement;680;284.7216829439506;
range;786;280.78936191368086;
efficient;703;279.83960952328744;
proof;999;278.36960093078125;
rank;1502;277.2908644892054;
update;1119;275.98236829647215;
relevant;926;271.2261224053681;
knowledge;669;269.7356713655845;
graph;1209;268.73220468269363;
communication;910;268.0026875696565;
instance;747;266.6793852573975;
specific;524;266.1421874234788;
complete;671;263.1993550426442;
maximum;668;262.5896121203313;
focus;517;262.4865881221589;
individual;646;261.92450021741035;
assumption;613;261.6600395047518;
protocol;1224;255.14564668624615;
construct;608;253.3622713302658;
theorem;993;249.3108261123141;
associate;565;248.18419572511633;
solve;637;248.1736413378193;
estimate;947;246.5210991284316;
addition;478;246.31816906905664;
additional;508;245.83116987191386;
evaluation;732;244.95170388354595;
consist;487;244.02611735968205;
framework;673;242.00751955574268;
occur;532;240.99268672376127;
detail;447;240.36848049174685;
effect;526;238.05065720056467;
respectively;475;237.77938778023977;
equilibrium;1577;236.5138645055302;
interaction;921;236.08260381127414;
standard;521;234.33001159023686;
specify;615;233.8401259640605;
dynamic;653;233.7970269038931;
decision;673;231.81026144072183;
main;451;231.58831359827107;
assign;622;231.44130754493276;
common;471;231.19022828759856;
create;560;224.91700440607048;
control;635;224.58004164174807;
index;1314;224.21876757642312;
behavior;691;223.14461232067387;
retrieval;1296;221.43390522718158;
make;384;218.67805408678305;
extend;438;218.5383909901856;
identify;509;217.2588021245306;
weight;719;216.0920347914868;
linear;673;215.7348610878204;
develop;445;215.7319984031889;
initial;495;215.7136365592579;
quality;787;214.11726025201656;
indicate;453;212.54525757483515;
factor;529;212.23928125690932;
various;427;210.84346947285923;
maximize;542;207.98772117540756;
program;790;207.946610709023;
variable;677;207.21278547079916;
concept;710;206.22895689351927;
directly;404;203.7013577346648;
allocation;1064;203.61297216117072;
collection;809;202.947103405393;
original;552;202.05161291280075;
simply;377;198.7608419171823;
refer;421;197.66592514873656;
combine;425;196.95864170140555;
implementation;489;196.5434307398019;
complexity;640;196.46852605132085;
scheme;789;196.46295947275618;
component;573;195.6731286071086;
basic;458;195.42139489465706;
significant;437;194.92351630869527;
benefit;456;194.39907367146324;
scenario;516;190.68655755123996;
involve;430;190.60755695317783;
decrease;426;189.78249532903106;
version;483;188.55166262764445;
random;649;188.03025185391832;
observation;528;187.86916091730575;
topic;1118;187.83423289994872;
source;503;187.76753338685694;
affect;401;185.2899132290459;
area;548;183.9172195897259;
constant;414;183.74799916301;
input;511;183.21168284006836;
positive;457;182.45714654600545;
respect;411;180.63010671625324;
link;710;180.23348613846218;
maintain;452;179.8528114115605;
joint;531;179.3971889594461;
bind;662;179.32960199927857;
sequence;757;177.86906297164177;
location;846;177.67440190073992;
computational;411;177.4517387581383;
derive;404;176.85012829397934;
ensure;399;176.40130564538046;
independent;349;176.07520000949827;
similarly;341;175.93070195876498;
item;970;174.50647257595594;
content;677;173.97529988439425;
conference;780;171.36110785450066;
global;605;171.2954011542753;
combination;393;171.0535124650697;
interest;430;170.8029214520299;
theory;498;170.77434803062448;
position;735;169.85191357630788;
computer;423;169.70786221716375;
overall;387;168.0967332153034;
representation;572;167.70914293091985;
produce;419;166.2916079858363;
outcome;733;165.7906559836637;
necessary;330;162.7329051425926;
computation;442;162.2511074538136;
access;584;162.2330246066216;
preference;710;160.87289917681096;
attempt;348;160.31201481650749;
bound;505;160.29610309819975;
situation;363;159.91093919503496;
description;363;159.55188671545145;
operation;666;159.50424802216517;
improvement;497;158.77761882218877;
significantly;338;158.58524463413556;
suggest;366;158.09849475322866;
usually;329;155.8765543309054;
requirement;387;155.15726215156903;
request;791;154.53525376089067;
advantage;307;154.32074533682177;
demonstrate;319;153.9922979091571;
actual;321;153.89959530632487;
enable;394;153.71039544819783;
server;1178;151.0005713497059;
comparison;350;150.92835126283146;
alternative;373;150.84429904295192;
proceeding;804;150.8343545900156;
potential;370;150.63690948781854;
analyze;309;150.13686867712485;
response;556;148.98664674115506;
imply;364;146.47631421562565;
avoid;307;146.07550423466603;
furthermore;289;145.88434991533614;
appropriate;295;145.86152412357197;
vary;335;145.61468324223912;
management;494;145.4703988911367;
error;848;145.29298367720696;
element;502;144.94142997701263;
difficult;304;144.9384203738854;
complex;295;144.27679296215896;
easily;251;143.11262564128452;
clearly;268;142.93356761144676;
contrast;262;142.58040967999935;
guarantee;326;142.01007949923027;
calculate;414;141.42670028478443;
match;599;141.2905305835336;
become;283;140.75882661094653;
aspect;337;140.6654042558875;
exactly;308;140.4904925924883;
threshold;545;140.11223534265397;
recent;244;139.64365586642606;
international;472;138.75633196456707;
policy;873;138.743970034563;
recall;403;138.61069269844785;
natural;292;138.5352359525881;
zero;347;138.26024756508545;
sensor;1479;138.10746568562692;
illustrate;272;137.23965374723787;
relative;353;135.07167248157197;
express;293;134.75952261877035;
capture;297;134.51696760224564;
negative;357;133.72600887743903;
setting;304;133.4419219313698;
conclude;218;133.3945770750755;
relevance;734;132.90060147541809;
currently;270;131.63496393076724;
concern;277;131.60548080190807;
label;522;131.48000647035005;
restrict;288;131.36581221441776;
efficiency;396;131.24641051402185;
actually;259;131.08283235115582;
final;305;131.03372298888624;
unit;505;130.37495974581645;
accuracy;580;130.26932534729883;
special;253;130.16439734478192;
technology;439;129.23730601935497;
science;268;128.42031452430336;
object;889;128.41583870426808;
relationship;351;128.32161645962026;
equation;440;128.103173884718;
cluster;944;128.02698551442973;
sample;484;127.69851285833629;
feedback;783;126.85942867997416;
procedure;361;126.23612621931213;
effective;299;126.09820685233822;
target;476;125.46705093026131;
architecture;474;124.90352945715858;
modify;313;124.62766104270597;
way;213;122.92842398006667;
employ;312;121.96254468770938;
execute;471;121.63054747174034;
yield;303;121.5059620712838;
minimum;332;120.56192317795103;
journal;270;119.68791691833268;
ratio;484;119.60688023768138;
scale;294;118.67746938084981;
typically;239;118.49182376310227;
autonomous;392;118.38057232916272;
simulation;448;118.34223698992187;
metric;479;118.31733356286271;
relation;472;117.60916266845526;
impact;305;117.55708970784006;
unique;280;117.19441620674236;
reflect;235;116.4145950911415;
bodyweight;418;116.16530408418585;
explore;247;116.09753310489258;
examine;270;115.86667665910318;
exploit;277;115.3184050290648;
execution;550;115.28556800322937;
social;530;115.15850428067053;
collect;275;115.0022334579422;
formally;262;114.91912953017241;
purpose;218;114.86281819355558;
output;363;114.79603557505243;
profile;676;114.66380447671047;
distance;487;114.3075434485482;
experimental;269;114.16661002637112;
specifically;228;113.97712078332775;
advance;283;113.85893004750355;
text;460;112.5946266415174;
generally;221;112.41794453604186;
role;420;111.91296192139725;
press;248;111.2760509495534;
approximate;302;110.3074826035146;
university;215;110.26352726080125;
detect;360;109.90084930762808;
objective;348;109.74304548685664;
challenge;233;109.56425012948125;
investigate;245;109.4037394467257;
differ;213;109.29888564546937;
highly;223;107.3268788130172;
notion;289;107.12959546956773;
degree;318;107.12501279971751;
influence;283;106.80862159286353;
period;391;105.75916942077001;
attribute;778;105.75595502216386;
contribution;246;105.6526817077568;
practice;204;105.56172580259795;
minimize;260;105.51878998520411;
mention;184;105.36507168583772;
aggregate;462;105.01148635513007;
relatively;219;104.89222415310394;
equivalent;222;104.87398993534089;
sufficient;213;104.65180613288257;
reveal;253;104.49711579700306;
semantic;432;104.15172525350864;
payoff;734;103.76881410061404;
discussion;186;103.71599170726712;
prefer;304;102.80148788367612;
efficiently;221;102.7083638176846;
underlie;235;102.51050170440303;
optimize;256;102.45544585311416;
client;1018;102.31576791626529;
selection;357;102.14068113789132;
establish;229;101.8441625126328;
interval;382;101.83865677910141;
entire;229;101.20621717521743;
technical;202;100.81526260568117;
send;327;100.3060742635897;
especially;195;100.1864796399162;
finite;280;99.70516722738074;
schedule;577;99.33347678910377;
prior;279;98.64532539478792;
candidate;536;98.16073922263804;
similarity;531;97.8745093441648;
regard;212;97.17518620806344;
arbitrary;233;97.11607006379829;
formula;417;96.98400666030524;
explicitly;176;96.91569104375935;
ability;219;96.79992223707899;
literature;203;96.57962463066322;
previously;182;96.20147274661892;
randomly;239;95.77322462354005;
frequency;348;95.45141375661684;
consistent;248;95.13452391729216;
reasonable;192;94.98912506325657;
pi;600;94.72491960293435;
valuation;645;94.71049042581144;
necessarily;171;93.92998814263862;
organize;171;93.92009711460986;
bidder;1072;93.13813751868022;
argument;551;93.02659521579943;
nature;174;93.00556361051459;
manner;185;92.95265662773087;
approximation;341;92.07668997080931;
predict;317;91.9407220969869;
interface;351;91.6427921637532;
generalize;250;91.50270611997162;
human;349;90.64268234588783;
effort;210;89.80042086954984;
nash;697;89.79332426099256;
project;226;89.74726753858107;
slightly;157;89.66058265797824;
adopt;214;89.39152295119182;
incorporate;196;88.83036256219918;
normalise;279;88.7070875560035;
map;223;88.68732776032394;
heuristic;358;88.31925982758597;
filter;407;88.27865392977309;
rely;190;87.86299627658074;
min;258;87.71144020194619;
possibly;166;87.14756998291892;
possibility;191;87.12948268365182;
replace;175;86.86067526115143;
continue;153;86.57952074889837;
ignore;167;86.43726209220844;
pattern;221;86.21128660533691;
extension;185;86.15948967341062;
completely;145;85.81731204449696;
detection;443;85.80840640920816;
train;473;85.17700265492118;
hypothesis;374;84.89517884729825;
recently;148;84.89286525199498;
workshop;188;84.67670362384118;
traditional;214;84.6335837873213;
classification;381;84.5052794196868;
characterize;168;84.49411806607777;
development;228;84.47117800437185;
accurate;210;84.3683454454525;
entity;562;83.797132269683;
characteristic;217;83.79000598062171;
summary;329;83.76529102476405;
typical;157;83.68690332911379;
precision;425;83.63861611681052;
difference;188;83.11165954087228;
operate;177;82.89290828872603;
claim;298;82.69834516348759;
incentive;309;82.20348360077942;
proceed;188;82.02894887978357;
activity;346;81.92218068600562;
prediction;506;81.81687277303462;
interact;199;81.54125664286789;
identical;170;81.35064399274012;
demand;388;81.21887145818835;
adapt;163;81.20387835148537;
category;247;81.20170277052677;
approximately;170;80.98382264117897;
perspective;165;80.41765960320137;
conclusion;142;79.59967232723342;
robust;253;79.41431461037655;
eliminate;256;79.0584379447438;
active;291;78.59719548915702;
retrieve;288;78.20638783811656;
failure;330;78.19860709393733;
principle;153;78.13422117614927;
simplify;141;77.80503025185386;
adaptive;296;77.7652494720581;
extract;232;77.55762395691568;
summarize;152;77.29790618883034;
submit;238;77.25314353640233;
tend;178;77.17971100093054;
monitor;370;76.78589226273782;
communicate;254;76.58055511447024;
option;324;76.51642444901859;
site;464;76.21452771639674;
experience;246;76.05396509275901;
conduct;178;75.99535054901519;
notation;142;75.79112345160516;
effectiveness;250;75.14862809289409;
code;320;75.06935888626866;
connection;242;75.00361656943825;
transfer;291;74.96671776660145;
automatically;185;74.61672229287836;
product;338;74.46434406827703;
effectively;139;74.4039917310116;
participate;203;74.37070504553738;
class;241;74.36639395230036;
namely;156;74.1907209839681;
basis;141;74.14108776079883;
matrix;393;73.57804414381398;
place;217;73.57188395516471;
economic;209;73.47385518585187;
know;165;73.29481348029144;
interpret;191;73.24140044491071;
meaning;166;73.11453112965486;
simulate;197;72.81188348027653;
balance;213;72.79428145725332;
explicit;198;72.70970389244975;
practical;129;72.56010079499234;
software;181;72.4910416818161;
allocate;296;72.4696138418;
storage;446;72.183590242831;
assignment;359;72.10602024507192;
negotiation;906;71.819178948212;
integrate;188;71.44031770011705;
existence;157;71.39424910550379;
presence;148;71.082183832139;
get;153;70.94449448907234;
grid;566;70.87995423266247;
transaction;257;70.5848409792786;
lack;136;70.37405597446286;
construction;159;70.33148819532146;
manage;182;70.19585719522205;
deviation;203;69.45191684116335;
initially;137;69.4328901539379;
essentially;134;69.4038314562888;
correlation;371;69.27156028926615;
store;246;69.26607088001214;
organization;205;69.257184537051;
contract;569;69.01802793825865;
seem;146;68.85589966802354;
belief;356;68.72821710695229;
feasible;231;68.59469045460138;
partial;163;68.55536230249479;
reduction;155;68.19630091876006;
fraction;218;68.15159614331536;
volume;254;67.83935575497553;
integer;176;67.7021368479008;
straightforward;129;67.46884214869041;
simultaneously;125;67.41601975534364;
empirical;163;67.03503931924794;
route;407;66.7556507969958;
importance;135;66.73090467660867;
memory;302;66.70974692918084;
distinct;135;66.49756248859157;
understand;125;66.49142010824484;
variety;118;66.08862895362869;
independently;123;65.83886602665608;
respective;168;65.8056594785432;
capability;170;65.78734809146934;
consideration;122;65.72246947731145;
incur;165;65.38834416919076;
phase;256;65.33660511424767;
strategic;226;65.30971606145648;
baseline;329;65.11483238677259;
intelligence;172;65.07392671586712;
private;241;64.86526386710253;
overlap;187;64.85183789102206;
desirable;125;64.46651964923583;
statistic;194;64.45898080116588;
simplicity;116;64.32832128552197;
theoretical;124;64.3281446865219;
potentially;123;64.29403436705584;
percentage;221;64.22004235407951;
normal;204;64.06430726445174;
reason;204;63.89603661386995;
verify;122;63.88456509899188;
transition;391;63.85236026789626;
participant;282;63.37991045391878;
configuration;273;63.27760620797426;
parallel;221;62.919950196113945;
dimension;224;62.894922110936825;
classify;187;62.80894511035949;
successful;147;62.77653548378478;
exponential;204;62.757959940223415;
perfect;187;62.7380576781238;
cycle;450;62.709116218466306;
exhibit;143;62.55418250245228;
artificial;166;62.47759196133227;
distinguish;122;62.43328193659352;
consequently;147;62.39302478470503;
entry;186;62.33429003491912;
editor;184;62.28527119818709;
generation;201;62.23517050707653;
valid;203;61.94308318109713;
consequence;142;61.60148729006609;
variant;175;61.47031578572462;
estimation;212;61.39323700031021;
seller;645;61.28816801539829;
continuous;182;61.18216409460365;
central;124;61.11172186993108;
comment;127;61.00220377743777;
subsequent;128;60.98765884634848;
aggregation;410;60.8874915967073;
locate;162;60.85187795970281;
proposition;310;60.84324241700222;
immediately;123;60.81947872130453;
exceed;136;60.659514159826564;
discrete;140;60.597986474594165;
external;196;60.44168003526042;
delay;302;60.285324623094674;
unfortunately;107;60.278811236445264;
motivate;122;59.945798947232504;
partition;219;59.89809940891278;
static;245;59.77841129165106;
success;207;59.65878105137249;
omit;119;59.481358417316784;
maximal;174;59.38477063648361;
buyer;630;58.90426850171328;
electronic;169;58.90293436304897;
adjust;145;58.87861712594777;
binary;185;58.86813248783472;
compose;143;58.75810982676966;
restriction;133;58.67309447452897;
variation;139;58.65125110745387;
coordinate;142;58.63891885795357;
conflict;309;58.50129035992068;
intuitively;114;58.43004082553354;
suitable;103;58.36634646349376;
utilize;145;58.324054713041484;
formal;148;58.31169129901182;
reference;213;58.25527904868041;
rational;193;58.101287688675235;
precisely;112;58.09092919270513;
constrain;135;58.03147914276767;
particularly;118;57.895150650819275;
argue;118;57.78914821404988;
prevent;135;57.6522572765466;
minimal;140;57.606194618034124;
core;216;57.32459935029377;
remote;281;57.1466098186076;
device;333;56.99146982308942;
regardless;108;56.89728319504693;
come;107;56.81669914208501;
inform;178;56.71450174595572;
signal;318;56.45206969575994;
cache;630;56.30178839878129;
choose;145;56.146992697111955;
opportunity;164;56.10202970128053;
statistical;139;56.08771331007376;
specification;211;56.07883438723856;
introduction;100;56.04915981912698;
limitation;126;55.981083130640215;
encode;162;55.970358080443106;
impose;115;55.57119388344169;
former;95;55.51663963267408;
realistic;113;55.45166752492793;
converge;165;55.35298281647211;
centralize;203;55.252949129099854;
security;480;54.90030763842617;
equally;98;54.837865793664086;
popular;131;54.481423714426064;
evidence;163;54.466589398420716;
annual;157;54.070390283790104;
deploy;205;53.88836865560677;
mobile;300;53.8606470646724;
formulate;103;53.81026144072137;
traffic;217;53.76963476655544;
transform;183;53.670190237191775;
symposium;142;53.63675811724692;
judgment;380;53.39867150063145;
successfully;106;53.321662464401975;
depict;132;53.2488947722244;
