SEP=;
lemma;nr_occ;relevance;
result;4141;366.4372977088135;
section;2789;469.92857683466326;
example;2342;502.19528436149074;
consider;2080;617.9338718366148;
provide;2129;674.6057805750004;
problem;3107;681.5367229458494;
system;4908;706.8973158436015;
model;4760;719.8131538058568;
assume;1537;750.3430353954853;
base;1796;754.1266437434239;
information;3936;807.0292412327501;
define;1947;811.592510421567;
approach;2027;826.0719529623369;
function;3122;836.2222802640971;
require;1373;851.1493433930456;
exist;1126;961.8951328425168;
include;1044;1000.2615460871449;
compute;1779;1027.5251668415342;
algorithm;3529;1030.3877906277871;
represent;1344;1030.4788786111899;
show;940;1119.2316949200333;
similar;866;1133.972992225192;
process;1808;1134.5599731688242;
obtain;1076;1202.9869198017936;
increase;1149;1234.357414115751;
type;1872;1317.9231794349723;
determine;928;1340.6269353543778;
apply;836;1352.9319381517653;
design;1093;1396.8557557175782;
correspond;1089;1399.510981044546;
particular;774;1426.2368608117915;
perform;1141;1449.1519834738951;
achieve;879;1464.9736526164106;
datum;2919;1486.0910182342177;
contain;1147;1550.948416767704;
support;914;1604.6084666606316;
discuss;614;1611.640134274601;
previous;694;1647.839007009051;
future;630;1649.4253987946747;
introduce;611;1668.176508474526;
total;1010;1668.2231424827446;
research;765;1679.6489464163017;
relate;675;1712.1325813282915;
limit;746;1726.0562415874322;
solution;1786;1727.410315162434;
available;836;1742.227514421015;
multiple;687;1756.5518807793508;
propose;1128;1791.0781161190366;
focus;517;1841.280704852614;
reduce;708;1852.197836884853;
issue;820;1878.2786984505292;
current;890;1889.754815290802;
analysis;764;1901.4979587233229;
application;1346;1931.6208938877453;
method;2262;1938.5794079629825;
specific;524;1941.6374407688438;
technique;858;1943.2805045092107;
structure;1189;1962.58710560175;
accord;679;1971.7336931599793;
respectively;475;1995.5979404698128;
property;924;2056.341603311157;
detail;447;2063.5430864459527;
make;384;2130.482266640746;
main;451;2164.2299215099065;
knowledge;669;2172.4650311719497;
addition;478;2176.4204347303453;
condition;900;2210.9411984690796;
strategy;2828;2217.975880138252;
consist;487;2221.3258281231683;
observe;681;2262.225323999804;
implement;680;2264.5916986597767;
common;471;2290.885624692992;
individual;646;2299.417954924218;
evaluate;651;2304.839480413093;
performance;1950;2319.578418118167;
context;931;2331.008990224726;
standard;521;2334.2786272173194;
probability;1758;2344.9967128841586;
distribution;1521;2352.8306192985606;
various;427;2361.7181376077215;
occur;532;2364.135831343503;
assumption;613;2365.238914702683;
additional;508;2408.5439946693814;
directly;404;2415.317441896703;
optimal;1641;2423.135573123116;
extend;438;2466.1039366736763;
construct;608;2474.6079235074044;
efficient;703;2479.0613881868626;
definition;1029;2493.7637238941415;
parameter;892;2511.1961703245415;
effect;526;2511.7917378380425;
complete;671;2515.113630326352;
satisfy;938;2523.70833116913;
distribute;1143;2538.8302586804343;
associate;565;2562.732825005231;
framework;673;2578.6085853826485;
range;786;2597.9781328885215;
develop;445;2609.237553851565;
identify;509;2637.54521602213;
maximum;668;2670.9583894171196;
assign;622;2691.359367092928;
initial;495;2703.4844897105113;
refer;421;2710.759633920661;
solve;637;2717.170563469532;
denote;1059;2723.6078240777156;
basic;458;2764.269558339257;
simply;377;2778.0874179890566;
independent;349;2802.556450092974;
mechanism;2119;2803.892529862297;
benefit;456;2810.2314129552433;
generate;843;2834.2840765578926;
specify;615;2878.3358927821464;
instance;747;2895.856092591301;
respect;411;2948.2982579028053;
domain;1166;2968.2557153520925;
computer;423;2969.359611957088;
decision;673;2973.057897759567;
affect;401;2997.698156692286;
similarly;341;3009.571288861055;
network;2640;3027.609493606077;
constraint;1057;3028.9326074471355;
constant;414;3036.006793867414;
factor;529;3047.538531972581;
average;1108;3052.163030557563;
version;483;3057.047982987135;
combine;425;3066.6827866431795;
original;552;3101.8302379040815;
easily;251;3112.1953674669026;
decrease;426;3112.6175548310216;
behavior;691;3122.3233156684864;
necessary;330;3125.3123175576507;
usually;329;3148.3127241805582;
create;560;3171.335463898861;
experiment;1045;3172.312324977777;
description;363;3193.0639614865777;
attempt;348;3227.5361323038155;
combination;393;3233.894904302634;
implementation;489;3237.0802353070376;
indicate;453;3248.272912236233;
interest;430;3304.9376842973807;
conclude;218;3309.770876895657;
ensure;399;3313.9195940300633;
contrast;262;3330.7562414390295;
advantage;307;3342.353895491977;
actual;321;3347.0213714470583;
significant;437;3372.6284742885214;
involve;430;3378.5279033840225;
concept;710;3384.253582807865;
derive;404;3394.767355303832;
resource;2018;3399.0822891979287;
produce;419;3439.026147040186;
situation;363;3439.885482226572;
complex;295;3453.111932601511;
alternative;373;3455.900347707107;
demonstrate;319;3484.432615609274;
graph;1209;3516.2246161197786;
overall;387;3524.419299451059;
analyze;309;3530.257177116925;
recent;244;3534.4467064286487;
dynamic;653;3536.5696059764664;
become;283;3536.9283260344027;
relevant;926;3564.5282402577454;
difficult;304;3598.182637498646;
computational;411;3617.15162879187;
environment;1087;3622.6901711526275;
actually;259;3623.227774125427;
observation;528;3632.7448663857904;
conference;780;3679.0296523077336;
furthermore;289;3687.668458379771;
source;503;3688.510746568563;
node;4537;3694.1922168813803;
potential;370;3735.7050366331623;
component;573;3747.74497175158;
clearly;268;3766.63040203727;
express;293;3775.2962084639894;
linear;673;3816.256185788084;
science;268;3816.55589358352;
variable;677;3855.7268859363385;
program;790;3857.453782260853;
final;305;3858.9193669742062;
update;1119;3874.25390038926;
mention;184;3890.4414633675797;
area;548;3898.737009956325;
control;635;3902.0954139168916;
significantly;338;3972.9960242964607;
currently;270;3979.9260406355784;
natural;292;3982.79577290259;
appropriate;295;3987.7135504857956;
interaction;921;3995.720184078487;
illustrate;272;4014.234778724421;
requirement;387;4021.2814468652196;
feature;1277;4028.879929004234;
exactly;308;4040.43836769099;
input;511;4056.976353542294;
quality;787;4081.8095313003178;
random;649;4083.6206282472326;
purpose;218;4101.452934882458;
user;3035;4111.382603959676;
typically;239;4113.17935780293;
specifically;228;4157.201174457552;
complexity;640;4162.743913641605;
maximize;542;4170.070498617631;
international;472;4171.686750474517;
modify;313;4177.198681295198;
computation;442;4202.196674893113;
global;605;4211.0277586915645;
concern;277;4212.833297964065;
aspect;337;4229.81613372848;
theory;498;4231.982872865045;
press;248;4243.544245469642;
capture;297;4245.482600546418;
guarantee;326;4274.140893353497;
special;253;4285.326423217278;
avoid;307;4307.846364806045;
scenario;516;4312.540014513766;
positive;457;4314.590511439608;
local;1088;4316.139384099857;
communication;910;4326.077000132078;
journal;270;4326.804102736097;
proceeding;804;4328.851208664333;
link;710;4333.3610796580215;
maintain;452;4347.351957355051;
university;215;4368.963987160214;
discussion;186;4400.287161846305;
restrict;288;4428.255933503799;
zero;347;4429.971184682486;
relative;353;4478.350798331362;
estimate;947;4497.620994801459;
vary;335;4511.765945479882;
especially;195;4534.465209254975;
evaluation;732;4547.2311814473105;
comparison;350;4557.008411454894;
bind;662;4566.512387900446;
explore;247;4571.882071936638;
relationship;351;4597.123187448708;
scheme;789;4611.8850058544795;
exploit;277;4633.650010462377;
weight;719;4638.044482171663;
reflect;235;4652.865763983598;
way;213;4682.735548191493;
unique;280;4712.320601386376;
efficiency;396;4713.403539103322;
generally;221;4719.834005844091;
negative;357;4730.185052007663;
challenge;233;4732.963942639458;
practice;204;4733.951959135882;
enable;394;4739.253559063462;
differ;213;4742.014564223417;
management;494;4749.352292744749;
slightly;157;4778.1789200154935;
continue;153;4840.716901414721;
sufficient;213;4848.167993137868;
vector;1341;4862.653903060505;
explicitly;176;4864.6857591456765;
calculate;414;4872.4795597787615;
position;735;4925.860902317008;
representation;572;4940.5172094983545;
event;2221;4952.958125260632;
unit;505;4955.011130189079;
examine;270;4963.211463204337;
procedure;361;4965.653560250682;
element;502;4983.613675589121;
setting;304;5004.513296123874;
necessarily;171;5038.150771025298;
recall;403;5046.47349011565;
manner;185;5074.628650887521;
recently;148;5090.480966634661;
contribution;246;5100.63318755259;
organize;171;5113.647689446948;
yield;303;5131.99242108325;
collection;809;5142.585351483951;
minimum;332;5171.36043559108;
underlie;235;5172.958183137615;
efficiently;221;5211.206568889193;
influence;283;5219.776786284046;
imply;364;5231.457968695972;
investigate;245;5242.658393720792;
possibly;166;5244.090138207268;
action;1303;5257.92869555668;
approximate;302;5267.755811071718;
technical;202;5280.781771124728;
access;584;5280.926512555595;
degree;318;5281.642057571274;
sequence;757;5321.435001921813;
threshold;545;5323.994578855905;
reveal;253;5332.830205255527;
impact;305;5338.809813265108;
completely;145;5368.905408233075;
establish;229;5429.0996641650945;
collect;275;5496.893700758188;
index;1314;5512.021924988461;
regard;212;5533.971632858099;
target;476;5543.54955085977;
highly;223;5554.882951963588;
ability;219;5561.524240809803;
technology;439;5561.691600268905;
entire;229;5567.103267378307;
reasonable;192;5573.349759513715;
item;970;5596.219166779205;
formally;262;5618.867279173339;
response;556;5654.948082862032;
conclusion;142;5656.338863800618;
adopt;214;5663.229835436445;
suggest;366;5673.123433796894;
project;226;5685.344210743452;
literature;203;5688.814338057975;
adapt;163;5691.218286752255;
previously;182;5704.066833075361;
employ;312;5722.642072411526;
principle;153;5776.650060919235;
optimize;256;5778.362020530005;
nature;174;5785.507250205166;
equation;440;5827.250565784611;
replace;175;5827.767281102571;
experimental;269;5853.56543734965;
summarize;152;5873.377783845792;
bound;505;5877.340365634132;
relatively;219;5892.937221281515;
ignore;167;5894.272277073443;
scale;294;5898.482633194973;
minimize;260;5909.926818264788;
improvement;497;5937.187099962454;
sample;484;5947.150020108542;
output;363;5971.589632896684;
prefer;304;5973.632004784497;
relation;472;6028.180052326729;
extension;185;6088.902708791217;
operation;666;6148.127427308735;
proof;999;6161.857364400907;
incorporate;196;6182.6563977068845;
possibility;191;6205.627707047487;
difference;188;6210.9441264508205;
proceed;188;6213.007856429465;
error;848;6253.155080634509;
map;223;6290.02448493195;
consistent;248;6292.29219565982;
typical;157;6326.77227336338;
practical;129;6350.062188076451;
pattern;221;6352.848610136189;
simplify;141;6357.74669470485;
basis;141;6367.522688519432;
essentially;134;6377.9203508829205;
rely;190;6405.404015475415;
effort;210;6425.27638040315;
objective;348;6438.461159350175;
prior;279;6450.055658365524;
equivalent;222;6463.2056740219905;
notation;142;6496.714161904182;
randomly;239;6497.066825655234;
notion;289;6551.39404579405;
identical;170;6568.074233909086;
effective;299;6584.646447317847;
traditional;214;6614.762849803293;
period;391;6623.142200779706;
understand;125;6661.033019560937;
role;420;6661.248603903283;
workshop;188;6698.576616511561;
ratio;484;6758.166733200464;
interval;382;6776.912951533221;
straightforward;129;6794.260456812641;
characterize;168;6800.864459525438;
perspective;165;6813.559544285538;
min;258;6833.108415461762;
namely;156;6883.621251537821;
participate;203;6886.81367321468;
potentially;123;6897.208851319966;
distinct;135;6915.817783964514;
interact;199;6990.657903992473;
meaning;166;7048.737897403401;
variety;118;7067.119133091833;
simulate;197;7125.613396592381;
theoretical;124;7127.689795694249;
arbitrary;233;7135.011550168214;
advance;283;7154.511494517269;
bodyweight;418;7174.864765234632;
desirable;125;7220.05841123229;
lack;136;7235.43519187704;
label;522;7265.7713191351695;
eliminate;256;7303.009076298188;
introduction;100;7304.920316750341;
get;153;7306.005471600952;
initially;137;7334.718737153907;
tend;178;7363.043146548974;
conduct;178;7370.079883593063;
importance;135;7430.6943249391925;
simplicity;116;7435.044238791528;
predict;317;7451.635032195927;
construction;159;7453.832437229444;
explicit;198;7492.536264382059;
selection;357;7573.260179299926;
existence;157;7609.762015781124;
location;846;7619.60035497883;
topic;1118;7664.940475748802;
come;107;7700.840439093379;
approximately;170;7702.526733972157;
effectively;139;7704.286338212313;
utility;1503;7753.194591321718;
class;241;7771.305778942573;
joint;531;7800.856147500233;
accurate;210;7810.228096158898;
distinguish;122;7823.659570552784;
argue;118;7842.0930127641;
reduction;155;7855.0408967667545;
exhibit;143;7866.559648167303;
immediately;123;7867.772279299481;
suitable;103;7878.237015150414;
seem;146;7936.129463391324;
subsequent;128;7940.94916471641;
request;791;7941.227793417755;
preference;710;7947.476018894609;
regardless;108;7949.687268399315;
comment;127;7974.580991417883;
respective;168;7990.221144984811;
balance;213;8017.514176150825;
consequently;147;8029.750087186481;
query;5522;8029.93545974359;
particularly;118;8040.365816666494;
consideration;122;8101.821350077095;
transaction;257;8140.485849077604;
approximation;341;8140.773640150599;
variation;139;8203.19028319653;
metric;479;8212.147344411087;
characteristic;217;8253.90291210267;
precisely;112;8269.627011039664;
successful;147;8276.760527303837;
distance;487;8330.657593831203;
theorem;993;8332.33334174281;
verify;122;8337.383261382844;
heuristic;358;8393.637405152238;
omit;119;8394.815875508093;
deviation;203;8403.587095213574;
accuracy;580;8453.54158758049;
fundamental;98;8465.401425851422;
category;247;8470.140001454345;
know;165;8497.465617361908;
presence;148;8516.17247934608;
discrete;140;8516.223077185636;
partial;163;8528.27686122732;
organization;205;8552.246561884593;
submit;238;8621.127626168114;
content;677;8662.65059813636;
automatically;185;8668.932994777715;
normalise;279;8670.663124793164;
motivate;122;8715.155622303711;
former;95;8728.72069161511;
simulation;448;8745.593204945366;
connection;242;8773.397944328279;
entry;186;8798.275160534427;
formula;417;8806.237007730288;
summary;329;8810.64199375819;
adjust;145;8820.941701553626;
extremely;86;8854.25907815322;
pi;600;8876.058620479846;
compose;143;8930.247732780485;
product;338;8932.86746764454;
equally;98;8938.293982426174;
outcome;733;8973.514829121918;
widely;94;9001.4417883691;
percentage;221;9016.243734816568;
place;217;9052.875537773636;
series;105;9081.126746141163;
realistic;113;9135.833216342678;
simultaneously;125;9153.624967536949;
integer;176;9154.70745707828;
development;228;9200.972195303653;
aggregate;462;9227.90692490684;
constrain;135;9251.035269343156;
binary;185;9258.817436702615;
critical;111;9278.075999899087;
detect;360;9279.162273704706;
dimension;224;9287.353405763657;
foundation;76;9299.396795692764;
minimal;140;9300.651826909236;
active;291;9331.089980900595;
entity;562;9340.179835659048;
candidate;536;9358.94589244082;
perfect;187;9387.891197207658;
option;324;9407.511914496403;
exceed;136;9441.0507358539;
