SEP=;
type;keyword;lemma;pos;relevance
word;used;use;null;13.876151023224345;
word;strategies;strategy;null;13.050595568310577;
word;result;result;null;13.041061207901421;
word;function;function;null;12.919900561582814;
word;distributions;distribution;null;12.388688897736172;
word;computed;compute;null;12.37829564902896;
word;optimal;optimal;null;12.276237141846014;
word;analysis;analysis;null;12.238257294075039;
word;defines;define;null;11.894087877548143;
word;possible;possible;null;11.859546059586144;
word;relevant;relevant;null;11.775349891218744;
word;value;value;null;11.772907025637519;
word;determine;determine;null;11.49583190049965;
word;information;information;null;11.352848029937906;
word;example;example;null;11.344182614853548;
word;constraints;constraint;null;11.3180131564731;
word;required;require;null;11.26312555808912;
word;specific;specific;null;11.255938690635393;
word;provide;provide;null;11.215534518407914;
word;multiple;multiple;null;11.049024870837577;
word;evaluating;evaluate;null;11.024844103006963;
word;component;component;null;11.002357717608456;
word;time;time;null;10.991880833011637;
word;based;base;null;10.939312075528674;
word;method;method;null;10.878428297352839;
word;processing;process;null;10.87344228613539;
word;addition;addition;null;10.839055911092473;
word;limits;limit;null;10.810647555002587;
word;particular;particular;null;10.80924029344028;
word;probability;probability;null;10.768672955006089;
word;significant;significant;null;10.72156530129394;
word;users;user;null;10.696514289847293;
word;make;make;null;10.657282262657315;
word;types;type;null;10.651109536781421;
word;achieving;achieve;null;10.645400864275384;
word;individual;individual;null;10.62196986307891;
word;additional;additional;null;10.604941182918342;
word;assume;assume;null;10.572573085856948;
word;performance;performance;null;10.569630071394897;
word;data;datum;null;10.538535499838025;
word;evaluations;evaluation;null;10.535812811865437;
word;specifies;specify;null;10.477941690299986;
word;consider;consider;null;10.445046967823458;
word;actual;actual;null;10.385179525714308;
word;systems;system;null;10.368481023385446;
word;furthermore;furthermore;null;10.35479450396724;
word;dynamics;dynamic;null;10.351971512069971;
word;corresponding;correspond;null;10.264171744962209;
word;appropriate;appropriate;null;10.26385105410884;
word;interactions;interaction;null;10.248418576959272;
word;specifically;specifically;null;10.232454530670097;
word;initial;initial;null;10.231775641875268;
word;definitions;definition;null;10.230787165741665;
word;similarly;similarly;null;10.202378538570175;
word;assumption;assumption;null;10.185592422496097;
word;complexity;complexity;null;10.128869138225548;
word;mechanism;mechanism;null;10.124212173130637;
word;implementation;implementation;null;10.088083145780836;
word;maximum;maximum;null;10.086608057188325;
word;basic;basic;null;10.082316907220001;
word;terms;term;null;10.068630254950708;
word;objective;objective;null;10.039384260747457;
word;applications;application;null;9.996201047160909;
word;typically;typically;null;9.959519526178601;
word;techniques;technique;null;9.947596962026699;
word;representing;represent;null;9.947211128923069;
word;maximize;maximize;null;9.945884556817406;
word;available;available;null;9.903457347631317;
word;networks;network;null;9.892887073451295;
word;case;case;null;9.843740871559687;
word;linear;linear;null;9.837374934607451;
word;consistent;consistent;null;9.82306712320253;
word;variable;variable;null;9.818376293327715;
word;selected;select;null;9.7943529061669;
word;aspects;aspect;null;9.764963801148864;
word;attributes;attribute;null;9.75937267052743;
word;alternative;alternative;null;9.725106555905448;
word;existing;exist;null;9.71757394428231;
word;various;various;null;9.69474214043018;
word;accuracy;accuracy;null;9.690442670189404;
word;algorithm;algorithm;null;9.688802775187568;
word;procedure;procedure;null;9.686500858574696;
word;similar;similar;null;9.685022687338702;
word;obtained;obtain;null;9.674478410213425;
word;includes;include;null;9.589375871905913;
word;involved;involve;null;9.562312433227818;
word;computation;computation;null;9.558659722479284;
word;total;total;null;9.502344510826308;
word;necessary;necessary;null;9.493733641194426;
word;overall;overall;null;9.472214953625215;
word;approximate;approximate;null;9.466649103053202;
word;sequence;sequence;null;9.450659966012324;
word;updated;update;null;9.388813188733169;
word;analyzing;analyze;null;9.388068136930858;
word;designing;design;null;9.384357873734665;
word;parameter;parameter;null;9.38358975936095;
word;factors;factor;null;9.37397744790512;
word;previous;previous;null;9.362495872410783;
word;ensure;ensure;null;9.35454209387753;
word;implemented;implement;null;9.347054165124467;
word;context;context;null;9.344562969009647;
word;previously;previously;null;9.340341533028754;
word;model;model;null;9.335681175894761;
word;concept;concept;null;9.335496543425835;
word;structure;structure;null;9.31247759259059;
word;significantly;significantly;null;9.297264867593523;
word;scheme;scheme;null;9.295187783752692;
word;applies;apply;null;9.248552566852378;
word;effective;effective;null;9.238448845475231;
word;random;random;null;9.228288620953391;
word;entities;entity;null;9.179275054523368;
word;assigns;assign;null;9.178915794352823;
word;utility;utility;null;9.142809254339635;
word;present;present;null;9.085770239737876;
word;effectiveness;effectiveness;null;9.057760418151588;
word;outcomes;outcome;null;9.057746145583971;
word;depend;depend;null;9.055519900111946;
word;framework;framework;null;9.05139252803856;
word;section;section;null;9.043563716336019;
word;currently;currently;null;9.033735095316322;
word;vector;vector;null;9.030680224802936;
word;task;task;null;9.027475481312443;
word;efficient;efficient;null;9.002267272310402;
word;order;order;null;8.985663385606099;
word;improvements;improvement;null;8.970144270862216;
word;related;relate;null;8.968279134108123;
word;representation;representation;null;8.966651393012361;
word;essentially;essentially;null;8.960861859337456;
word;modification;modification;null;8.930243064105868;
word;minimal;minimal;null;8.919962561347793;
word;efficiency;efficiency;null;8.911052482669941;
word;different;different;null;8.905021383370245;
word;preferences;preference;null;8.854067401567494;
word;prior;prior;null;8.833183803543346;
word;domain;domain;null;8.828014285108114;
word;necessarily;necessarily;null;8.818587949109665;
word;requirement;requirement;null;8.81338085827578;
word;theorem;theorem;null;8.806400035906062;
word;communication;communication;null;8.800797101348241;
word;approach;approach;null;8.79783961664599;
word;increasing;increase;null;8.790601698728484;
word;management;management;null;8.785825561686794;
word;program;program;null;8.770379784966554;
word;option;option;null;8.762670772074701;
word;important;important;null;8.759886817095543;
word;complete;complete;null;8.753060016190929;
word;enables;enable;null;8.749544733635167;
word;underlying;underlie;null;8.738391682701808;
word;give;give;null;8.72056248437124;
word;denoted;denote;null;8.714609885767345;
word;generally;generally;null;8.711421253960316;
word;proof;proof;null;8.702394324139313;
word;goal;goal;null;8.700824053726556;
word;initially;initially;null;8.69499085091055;
word;policy;policy;null;8.676972720192616;
word;basis;basis;null;8.66354587502503;
word;input;input;null;8.641813481113934;
word;indicate;indicate;null;8.62127500115328;
word;demonstrates;demonstrate;null;8.611146797582553;
word;feature;feature;null;8.610950781320794;
word;unit;unit;null;8.59815950954959;
word;limitations;limitation;null;8.593168459742685;
word;maintain;maintain;null;8.579027067662832;
word;desirable;desirable;null;8.574565757329811;
word;instance;instance;null;8.556212817671327;
word;generated;generate;null;8.539845312829597;
word;certain;certain;null;8.533474082093342;
word;distributed;distribute;null;8.527474366009208;
word;knowledge;knowledge;null;8.5012849029624;
word;target;target;null;8.500837606744234;
word;benefit;benefit;null;8.494875946266841;
word;scenarios;scenario;null;8.47960836309759;
word;ratio;ratio;null;8.446195445596228;
word;direct;direct;null;8.440033872581143;
word;impact;impact;null;8.440003442674177;
word;consequently;consequently;null;8.436434464390855;
word;needed;need;null;8.431085132483979;
word;minimized;minimize;null;8.426700847628414;
word;participants;participant;null;8.422626872582608;
word;quality;quality;null;8.400244957222997;
word;relations;relation;null;8.396591155464781;
word;problem;problem;null;8.394691059564927;
word;indexes;index;null;8.393135657578313;
word;implies;imply;null;8.392985385568483;
word;associated;associate;null;8.37925454647813;
word;focuses;focus;null;8.364596624171762;
word;general;general;null;8.353631237141736;
word;settings;setting;null;8.348016850948808;
word;restricted;restrict;null;8.343113061050808;
word;incorporating;incorporate;null;8.327644779991996;
word;correlation;correlation;null;8.326137959188838;
word;profile;profile;null;8.320008432707457;
word;issue;issue;null;8.3112566585563;
word;items;item;null;8.310231046086791;
word;way;way;null;8.298394957613763;
word;approximation;approximation;null;8.274076365418573;
