SEP=;
type;keyword;lemma;pos;relevance
word;used;use;null;3.4690377558060863;
word;strategies;strategy;null;3.262648892077644;
word;result;result;null;3.2602653019753554;
word;function;function;null;3.2299751403957035;
word;distributions;distribution;null;3.097172224434043;
word;computed;compute;null;3.09457391225724;
word;optimal;optimal;null;3.0690592854615035;
word;analysis;analysis;null;3.0595643235187597;
word;defines;define;null;2.973521969387036;
word;possible;possible;null;2.964886514896536;
word;relevant;relevant;null;2.943837472804686;
word;value;value;null;2.9432267564093797;
word;determine;determine;null;2.8739579751249127;
word;information;information;null;2.8382120074844766;
word;example;example;null;2.836045653713387;
word;constraints;constraint;null;2.829503289118275;
word;required;require;null;2.81578138952228;
word;specific;specific;null;2.813984672658848;
word;provide;provide;null;2.8038836296019785;
word;multiple;multiple;null;2.7622562177093943;
word;evaluating;evaluate;null;2.7562110257517407;
word;component;component;null;2.750589429402114;
word;time;time;null;2.747970208252909;
word;based;base;null;2.7348280188821685;
word;method;method;null;2.7196070743382097;
word;processing;process;null;2.7183605715338475;
word;addition;addition;null;2.709763977773118;
word;limits;limit;null;2.702661888750647;
word;particular;particular;null;2.70231007336007;
word;probability;probability;null;2.6921682387515222;
word;significant;significant;null;2.680391325323485;
word;users;user;null;2.6741285724618233;
word;make;make;null;2.6643205656643287;
word;types;type;null;2.6627773841953553;
word;achieving;achieve;null;2.661350216068846;
word;individual;individual;null;2.6554924657697274;
word;additional;additional;null;2.6512352957295855;
word;assume;assume;null;2.643143271464237;
word;performance;performance;null;2.6424075178487243;
word;data;datum;null;2.634633874959506;
word;evaluations;evaluation;null;2.6339532029663593;
word;specifies;specify;null;2.6194854225749964;
word;consider;consider;null;2.6112617419558646;
word;actual;actual;null;2.596294881428577;
word;systems;system;null;2.5921202558463614;
word;furthermore;furthermore;null;2.58869862599181;
word;dynamics;dynamic;null;2.587992878017493;
word;corresponding;correspond;null;2.566042936240552;
word;appropriate;appropriate;null;2.56596276352721;
word;interactions;interaction;null;2.562104644239818;
word;specifically;specifically;null;2.5581136326675242;
word;initial;initial;null;2.557943910468817;
word;definitions;definition;null;2.5576967914354163;
word;similarly;similarly;null;2.5505946346425437;
word;assumption;assumption;null;2.546398105624024;
word;complexity;complexity;null;2.532217284556387;
word;mechanism;mechanism;null;2.5310530432826592;
word;implementation;implementation;null;2.522020786445209;
word;maximum;maximum;null;2.5216520142970813;
word;basic;basic;null;2.5205792268050002;
word;terms;term;null;2.517157563737677;
word;objective;objective;null;2.5098460651868644;
word;applications;application;null;2.4990502617902273;
word;typically;typically;null;2.4898798815446503;
word;techniques;technique;null;2.4868992405066748;
word;representing;represent;null;2.4868027822307672;
word;maximize;maximize;null;2.4864711392043515;
word;available;available;null;2.4758643369078293;
word;networks;network;null;2.4732217683628237;
word;case;case;null;2.4609352178899218;
word;linear;linear;null;2.459343733651863;
word;consistent;consistent;null;2.4557667808006327;
word;variable;variable;null;2.4545940733319287;
word;selected;select;null;2.448588226541725;
word;aspects;aspect;null;2.441240950287216;
word;attributes;attribute;null;2.4398431676318575;
word;alternative;alternative;null;2.431276638976362;
word;existing;exist;null;2.4293934860705777;
word;various;various;null;2.423685535107545;
