SEP=;
type;keyword;lemma;pos;relevance
word;make;make;VB;4.149996111232655;
word;time;time;NN;4.106680175441209;
word;used;use;VB;3.773329153433837;
word;give;give;VB;3.132260284939295;
word;taking;take;VB;3.0569808513046666;
word;example;example;NN;2.9929490140048483;
word;way;way;NN;2.8504142005147473;
word;see;see;VB;2.651537960951179;
word;result;result;NN;2.650290483764522;
word;known;know;VB;2.5438572081012762;
word;possible;possible;JJ;2.488849628976345;
word;setting;set;NN;2.4204685287936254;
word;consider;consider;VB;2.398777255481651;
word;provide;provide;VB;2.3563687057637908;
word;called;call;VB;2.311255566813993;
word;show;show;VB;2.23859237428067;
word;includes;include;VB;2.1517970994404263;
word;required;require;VB;2.0771362352113454;
word;works;work;NN;2.0375099294623156;
word;particular;particular;JJ;2.014638998092159;
word;determine;determine;VB;2.0144896476777854;
word;presented;present;VB;2.01155930055855;
word;good;good;JJ;1.9778364650066202;
word;new;new;JJ;1.975997654604558;
word;assume;assume;VB;1.9743252332903476;
word;case;case;NN;1.959083237388366;
word;various;various;JJ;1.9457716921943975;
word;Based;base;VB;1.9321987507103544;
word;terms;term;NN;1.9151929392549694;
word;become;become;VB;1.9050818412602846;
word;needed;need;VB;1.8837778661303335;
word;order;order;NN;1.874333416612481;
word;similar;similar;JJ;1.8717698982879811;
word;part;part;NN;1.854216396927913;
word;approach;approach;NN;1.8469494585712531;
word;different;different;JJ;1.846157116122791;
word;comes;come;VB;1.8382706143606928;
word;follows;follow;VB;1.8332764719058756;
word;defines;define;VB;1.8169204455312644;
word;important;important;JJ;1.8077561450101194;
word;allow;allow;VB;1.789893694403961;
word;function;function;NN;1.7871191681512202;
word;existing;exist;VB;1.7832007230265539;
word;point;point;NN;1.7777360533898132;
word;discussed;discuss;VB;1.7637302431906372;
word;Figure;figure;NN;1.7636633944402373;
word;largest;large;JJ;1.7575300822481887;
word;specific;specific;JJ;1.7478503287425298;
word;simply;simply;RB;1.7387815396434507;
word;long;long;RB;1.7377119304607498;
word;necessary;necessary;JJ;1.7353618022089372;
word;go;go;VB;1.730127729714487;
word;begin;begin;VB;1.7278426480743256;
word;according;accord;VB;1.7267805653955897;
word;place;place;VB;1.724026294730904;
word;attempts;attempt;VB;1.7188874241285634;
word;processing;process;NN;1.7185763685969064;
word;obtained;obtain;VB;1.717810666649035;
word;information;information;NN;1.7161764617732351;
word;types;type;NN;1.7111093256256893;
word;representing;represent;VB;1.710425529884905;
word;get;get;VB;1.7083371091335888;
word;addition;addition;NN;1.7058208834737614;
word;method;method;NN;1.697624321000877;
word;involved;involve;VB;1.69491037657513;
word;available;available;JJ;1.6923736639113443;
word;expect;expect;VB;1.6848104265589212;
word;smaller;small;JJ;1.6788880343570143;
word;achieving;achieve;VB;1.6778824804235615;
word;significant;significant;JJ;1.6548303017921997;
word;depend;depend;VB;1.6471900880683938;
word;previous;previous;JJ;1.646068834837052;
word;related;relate;JJ;1.6385365681930595;
word;limits;limit;NN;1.623038312806458;
word;described;describe;VB;1.620999089673975;
word;value;value;NN;1.6180027006600155;
word;problem;problem;NN;1.6146983740326413;
word;higher;high;JJ;1.61445475294447;
word;Systems;system;NN;1.6142082729862377;
word;certain;certain;JJ;1.6073720234706952;
word;fact;fact;NN;1.6062517992869623;
word;general;general;JJ;1.5991537938947034;
word;selected;select;VB;1.5990310920456108;
word;instance;instance;NN;1.5953871730237148;
word;additional;additional;JJ;1.594503100586061;
word;form;form;NN;1.5910709375729184;
word;means;mean;VB;1.5891653339826028;
word;task;task;NN;1.5800976340195552;
word;completes;complete;VB;1.5758540384528417;
word;basic;basic;JJ;1.5756539320802272;
word;increasing;increase;VB;1.5687800875793694;
word;state;state;NN;1.5679012701899073;
word;relevant;relevant;JJ;1.5642249491398852;
word;always;always;RB;1.5615057366402176;
word;associated;associate;VB;1.561248616895599;
word;remains;remain;VB;1.5599280155411173;
word;usually;usually;RB;1.559297971267838;
word;generally;generally;RB;1.5584023829583786;
word;individual;individual;JJ;1.558074448036177;
word;single;single;JJ;1.5551173498046904;
word;leads;lead;VB;1.5467117188007267;
word;indicate;indicate;VB;1.5293130270978508;
word;applies;apply;VB;1.5232006817977377;
word;analysis;analysis;NN;1.5212689683939904;
word;actual;actual;JJ;1.5121311764286849;
word;actually;actually;RB;1.504151072436844;
word;perform;perform;VB;1.5031956414140504;
word;illustrate;illustrate;VB;1.5011974082846962;
word;section;section;NN;1.4984371820353306;
word;reduced;reduce;VB;1.4970488949527043;
word;appropriate;appropriate;JJ;1.4938532837473704;
word;received;receive;VB;1.4934983911455497;
word;instead;instead;RB;1.493299992838966;
word;maintain;maintain;VB;1.4903259134411286;
word;performance;performance;NN;1.4891064021917513;
word;aspects;aspect;NN;1.4889747123136439;
word;Creating;create;VB;1.4864481193439052;
word;suggests;suggest;VB;1.4845571113787601;
word;studied;study;VB;1.4845476976314032;
word;developed;develop;VB;1.4809238666588238;
word;demonstrates;demonstrate;VB;1.4763397007534338;
word;able;able;JJ;1.4759015931908048;
word;compared;compare;VB;1.472545825730051;
word;techniques;technique;NN;1.4721527995833448;
word;holds;hold;VB;1.4699654258628616;
word;left;leave;VB;1.4681274263303228;
word;strategies;strategy;NN;1.4658162798857772;
word;conditions;condition;NN;1.4626859062437063;
word;interesting;interest;JJ;1.458250993270962;
word;difficult;difficult;JJ;1.45547209642121;
word;design;design;NN;1.4528941243781295;
word;assigns;assign;VB;1.4516929299268617;
word;looking;look;VB;1.450455517058583;
word;identify;identify;VB;1.4478957879237604;
word;offers;offer;VB;1.4450109603260948;
word;end;end;NN;1.4449316761773674;
word;reason;reason;NN;1.4419721318194159;
word;appear;appear;VB;1.433745094199445;
word;Clearly;clearly;RB;1.4268385751314818;
word;Note;note;VB;1.4203957688248607;
word;Similarly;similarly;RB;1.4202813334668694;
word;adding;add;VB;1.4201951789306326;
word;Positions;position;NN;1.4158987721230456;
word;change;change;VB;1.4114521141824006;
word;start;start;VB;1.4107689443654152;
word;feature;feature;NN;1.407583517644332;
word;situation;situation;NN;1.4033504377763912;
word;keep;keep;VB;1.401536580451895;
word;Finally;finally;RB;1.3981390266191913;
word;procedure;procedure;NN;1.3967369186295224;
word;seems;seem;VB;1.3962046252921532;
word;trying;try;VB;1.3937041853611158;
word;almost;almost;RB;1.392986126106842;
word;chosen;choose;VB;1.3892381642641392;
word;entire;entire;JJ;1.3862954866488177;
word;Furthermore;furthermore;RB;1.384577699034346;
word;previously;previously;RB;1.3811396618528005;
word;quality;quality;NN;1.3800071991858178;
word;advantage;advantage;NN;1.3790496805631203;
word;direct;direct;JJ;1.3779802785040975;
word;vary;vary;VB;1.3778535787150314;
word;far;far;RB;1.3775507979297807;
word;concerns;concern;NN;1.37684891014368;
word;consisting;consist;VB;1.3735184804194773;
word;overall;overall;JJ;1.3703197038660353;
word;possibility;possibility;NN;1.3688849904947953;
word;event;event;NN;1.3667020605100646;
word;effort;effort;NN;1.3655574669866992;
word;turn;turn;VB;1.3655047922141286;
word;Specifically;specifically;RB;1.3639309176875145;
word;Recent;recent;JJ;1.3626211747874866;
word;assumption;assumption;NN;1.3624886682279493;
word;component;component;NN;1.3595338001376378;
word;gain;gain;NN;1.3580544445073597;
word;ensure;ensure;VB;1.3539062832078157;
word;referred;refer;VB;1.3511295433918389;
word;establish;establish;VB;1.349810625104665;
word;occur;occur;VB;1.3493665566730573;
word;prior;prior;JJ;1.347352534320837;
word;simple;simple;JJ;1.3443319004268623;
word;typically;typically;RB;1.3436153115453262;
word;directly;directly;RB;1.3431205148940841;
word;containing;contain;VB;1.343036999528072;
word;enables;enable;VB;1.3411777461272523;
word;already;already;RB;1.34026762299545;
word;common;common;JJ;1.3384481815993343;
word;corresponding;correspond;VB;1.3376664981321695;
word;levels;level;NN;1.3356386601385364;
word;propose;propose;VB;1.3334520342145684;
word;support;support;VB;1.3316509608164486;
word;Highly;highly;RB;1.3299555667922425;
word;true;true;JJ;1.326955473497462;
word;knowledge;knowledge;NN;1.3200748447533501;
word;difference;difference;NN;1.319056931865813;
word;improves;improve;VB;1.318039384367505;
word;specifies;specify;VB;1.31633334942793;
word;years;year;NN;1.3163004888255623;
word;due;due;JJ;1.3137137648576593;
word;greater;great;JJ;1.3091064627252136;
word;viewed;view;VB;1.3046916297591702;
word;effective;effective;JJ;1.3034051454493525;
word;effect;effect;NN;1.3029300905911958;
word;model;model;NN;1.3026958848473396;
word;relies;rely;VB;1.3020778558836104;
word;factors;factor;NN;1.3014364837022019;
word;Let;let;VB;1.3005964589762362;
word;original;original;JJ;1.3003956205385006;
word;numbers;number;NN;1.2993333834877279;
word;major;major;JJ;1.2968019905046402;
word;reached;reach;VB;1.294080489212171;
word;consistent;consistent;JJ;1.2926293250409921;
word;clearing;clear;NN;1.2922890567658663;
word;think;think;VB;1.2917659721404007;
word;people;people;NN;1.2908868837834335;
word;impact;impact;NN;1.2897381656561289;
word;range;range;NN;1.2890805315675828;
word;future;future;JJ;1.287457325861544;
word;relations;relation;NN;1.2873188819790524;
word;accepts;accept;VB;1.2839356884929303;
word;distributed;distribute;VB;1.283840957940545;
word;avoiding;avoid;VB;1.2819788311395923;
word;importance;importance;NN;1.2808348302919783;
word;introduce;introduce;VB;1.2791221315460257;
word;say;say;VB;1.2784795425744733;
word;Preferences;preference;NN;1.2780632790405395;
word;evaluating;evaluate;VB;1.274725596965605;
word;particularly;particularly;RB;1.2744737051543438;
word;derive;derive;VB;1.2744476296332394;
word;attributes;attribute;NN;1.2734890483331305;
word;analyzing;analyze;VB;1.2724202813656964;
word;close;close;JJ;1.2714599159063091;
word;desired;desire;VB;1.2668329896053252;
word;structure;structure;NN;1.2664482692998449;
word;hand;hand;NN;1.2657539285913093;
word;distributions;distribution;NN;1.2655548697437862;
word;deal;deal;VB;1.2636124233759127;
word;issue;issue;NN;1.2629325765688608;
word;efficient;efficient;JJ;1.2623320397068865;
