SEP=;
type;keyword;lemma;pos;relevance
word;used;use;VB;8.608750001397958;
word;setting;set;NN;8.212630310950697;
word;Systems;system;NN;8.002481438932065;
word;time;time;NN;7.994605801197043;
word;model;model;NN;7.981167117806026;
word;number;numb;NN;7.87559855402481;
word;information;information;NN;7.847840994172915;
word;result;result;NN;7.847137793814717;
word;value;value;NN;7.82409416821862;
word;algorithm;algorithm;NN;7.755976022126381;
word;show;show;VB;7.751120281757774;
word;give;give;VB;7.604577681539892;
word;nodes;node;NN;7.577058554867534;
word;problem;problem;NN;7.5741575334226034;
word;function;function;NN;7.572196333058216;
word;Figure;figure;NN;7.567092168066945;
word;query;query;NN;7.544136198925128;
word;section;section;NN;7.540343153827427;
word;case;case;NN;7.534811021255913;
word;users;user;NN;7.4480410300703;
word;good;good;JJ;7.408453270335628;
word;different;different;JJ;7.362235078819424;
word;example;example;NN;7.358421078392834;
word;order;order;NN;7.326657386137278;
word;strategies;strategy;NN;7.3029094279594275;
word;data;datum;NN;7.299447853057093;
word;agents;agent;NN;7.27801476741784;
word;provide;provide;VB;7.240943079483649;
word;Based;base;VB;7.220711468406921;
word;make;make;VB;7.189955292954829;
word;works;work;NN;7.1668882738419954;
word;approach;approach;NN;7.162916817859207;
word;search;search;NN;7.15691132959245;
word;defines;define;VB;7.142976582096793;
word;types;type;NN;7.113247315854771;
word;method;method;NN;7.103865325092335;
word;consider;consider;VB;7.102122308956975;
word;networks;network;NN;7.070746142430386;
word;higher;high;JJ;7.069591499727819;
word;computed;compute;VB;7.052854032472277;
word;probability;probability;NN;7.04917241991461;
word;cost;cost;NN;7.042418374227964;
word;new;new;JJ;7.0148709410819;
word;processing;process;NN;6.982959534589069;
word;page;page;NN;6.964918373998531;
word;performance;performance;NN;6.960861237293906;
word;distributions;distribution;NN;6.9289296781872;
word;needed;need;VB;6.924873636390655;
word;presented;present;VB;6.910375626251551;
word;solution;solution;NN;6.904178053338787;
word;terms;term;NN;6.900383972594303;
word;assume;assume;VB;6.900131075328727;
word;paper;paper;NN;6.882443135849944;
word;described;describe;VB;6.879357104231796;
word;event;event;NN;6.871443014226567;
word;Let;let;VB;6.82748294745076;
word;required;require;VB;6.8217067616903195;
word;resource;resource;NN;6.796571912616237;
word;see;see;VB;6.79637346492823;
word;largest;large;JJ;6.795348040225798;
word;representing;represent;VB;6.788285699916178;
word;follows;follow;VB;6.763948790007767;
word;point;point;NN;6.757850976696671;
word;state;state;NN;6.747901991204356;
word;possible;possible;JJ;6.746358031865175;
word;allow;allow;VB;6.745636414910393;
word;taking;take;VB;6.716237785173018;
word;lower;low;JJ;6.687862581948105;
word;size;size;NN;6.675771652266208;
word;structure;structure;NN;6.662813400969762;
word;game;game;NN;6.660419006857286;
word;optimal;optimal;JJ;6.656894009738715;
word;domain;domain;NN;6.652402036632893;
word;task;task;NN;6.644252447798244;
word;vector;vector;NN;6.641071584628925;
word;increasing;increase;VB;6.637573111252856;
word;Table;table;NN;6.637497839017706;
word;Note;note;VB;6.63047822305085;
word;single;single;JJ;6.618956214423963;
word;chosen;choose;VB;6.598668075635015;
word;obtained;obtain;VB;6.590095106062367;
word;graph;graph;NN;6.583321017740342;
word;corresponding;correspond;VB;6.582796888033541;
word;perform;perform;VB;6.578211873061569;
word;containing;contain;VB;6.576121249816978;
word;change;change;VB;6.568224654547473;
word;expect;expect;VB;6.561696953807194;
word;utility;utility;NN;6.561360602742828;
word;average;average;JJ;6.561346003940739;
word;known;know;VB;6.556702729016695;
word;includes;include;VB;6.555669457463269;
word;existing;exist;VB;6.552245556282019;
word;propose;propose;VB;6.551373125623196;
word;means;mean;VB;6.550913409485682;
word;levels;level;NN;6.537848128110382;
word;measure;measure;NN;6.526853273672168;
word;interesting;interest;JJ;6.509045922380036;
word;shares;share;NN;6.505208043119558;
word;smaller;small;JJ;6.499311721912924;
word;indexes;index;NN;6.493639859612662;
word;form;form;NN;6.493536900414606;
word;design;design;NN;6.491323112550949;
word;way;way;NN;6.484956588387959;
word;received;receive;VB;6.479920607217283;
word;mechanism;mechanism;NN;6.474219255194613;
word;learned;learn;VB;6.459817108460651;
word;studied;study;VB;6.455612922273883;
word;definitions;definition;NN;6.442615351165714;
word;determine;determine;VB;6.43499485415891;
word;total;total;JJ;6.428781420418458;
word;run;run;VB;6.410720092517019;
word;general;general;JJ;6.409274111299112;
word;local;local;JJ;6.391450364031925;
word;achieving;achieve;VB;6.389977213748338;
word;current;current;JJ;6.378775554133774;
word;denoted;denote;VB;6.374573285024686;
word;simple;simple;JJ;6.370954177529301;
word;distributed;distribute;VB;6.360192959452228;
word;space;space;NN;6.359644976638837;
word;experiments;experiment;NN;6.35794887257426;
word;properties;property;NN;6.357908145531491;
word;selected;select;VB;6.355612330576426;
word;estimate;estimate;NN;6.3549987795291285;
word;called;call;VB;6.353897199482676;
word;context;context;NN;6.352469125238162;
word;similar;similar;JJ;6.351079557386946;
word;bid;bid;NN;6.32194119215488;
word;group;group;NN;6.321899268130032;
word;items;item;NN;6.307148187619222;
word;step;step;NN;6.305523407430175;
word;updated;update;VB;6.304330712532291;
word;applies;apply;VB;6.3016756688180955;
word;matching;match;NN;6.296558748677785;
word;policy;policy;NN;6.293398695677702;
word;techniques;technique;NN;6.277711911966347;
word;support;support;VB;6.274678652140049;
word;parameter;parameter;NN;6.274564924065064;
word;issue;issue;NN;6.263496217108104;
word;generated;generate;VB;6.261202243188558;
word;applications;application;NN;6.257100965100528;
word;report;report;VB;6.252650339338992;
word;actions;action;NN;6.250238699795;
