
Discussed topics
Concept,Relevance
graph,7.35899845029504
post,6.017172229910749
poster,5.727095305771771
question,5.268587580107835
use,5.105722323290346
answer,4.829945575174572
thread,4.80415743534761
cluster,4.44633395114867
number,4.386092245376858
datum,4.033010816794306
see,3.918086781692685
response,3.905952751158347
link,3.888411056781676
file,3.8568675039462947
node,3.72108587128871
get,3.7022984761208706
respond,3.4840354487403147
network,3.444904193203994
count,3.388213053932554
assignment,2.9263144982692384
wrong,2.9017912396219776
make,2.8790355795987224
quiz,2.7234674871658258
forum,2.675343344870353
want,2.6588334858564924
think,2.4894547845786494
easy,2.4782557204803544
option,2.4348261697569082
distance,2.425687125542632
reply,2.42016575124668
give,2.1215449339647043
know,2.0806907863234505
tool,2.0742431232534884
load,2.026271239344179
right,1.9891640740735343
different,1.9820810863322822
query,1.9583800583601763
point,1.9502884077604032
social,1.9225998534854054
message,1.9077677337626082
download,1.890620489089082
look,1.83011679773082
formula,1.8097930745776591
visualize,1.7745415050294377
phi,1.6712397317854355
select,1.588223038289371
time,1.5766441138815983
connect,1.5439383407700844
unique,1.5413385588686763
student,1.5187946574919804
output,1.5122794978515357
actually,1.5045361542229827
solve,1.5028281184755985
interaction,1.5012595673898557
duplicate,1.4954339427473038
help,1.4939587161635939
good,1.4626073350406628
solution,1.4617981484370828
probability,1.4476750143823203
need,1.4085249695854012
nice,1.3924100801592834
access,1.3858280484604446
weight,1.3731802972263736
analysis,1.3550324429691152
connection,1.333521599199181
corner,1.3320962193213068
variable,1.3055529049966852
detail,1.2831416314439075
context,1.2778887159236565
problem,1.2714252929399479
example,1.2665219521429296
green,1.2555680483976468
additional,1.2385008799866752
column,1.2335486734390724
hop,1.2334559091995752
correct,1.2278914711576296
method,1.2254973949031545
edge,1.2254006761748233
helpful,1.213691611864634
plot,1.209227912344086
generally,1.2076450993336159
try,1.1980445383559946
contain,1.1932524432028861
due,1.186201434351549
orange,1.18581489866542
seem,1.1839621744336917
deadline,1.179589418142376
correspond,1.1395138999777639
degree,1.125076537410552
create,1.1152521312711599
simple,1.1133512458689687
software,1.1056644210988482
treat,1.095511650274758
initially,1.0837313604425765
note,1.0805149292879066
direct,1.0780052681084444
notice,1.0766507295387442
text,1.0765356508363053
date,1.0584481843473283
directional,1.0560996190454426
similar,1.0466907613379288
go,1.0417839947348888
excel,1.0399234400777293
stick,1.0389948380439806
share,1.0387369839077034
result,1.0312654292244523
able,1.0303429593991544
distinct,1.0265806390408148
separate,1.023433186127376
discussion,1.0215852399226832
remove,1.009850014606473
geodesic,1.0007474383698653
grade,0.9989438591031577
view,0.974978583278919
enter,0.9743011119413685
call,0.950583919248726
thank,0.9505518247033488
id,0.9449781468780549
luck,0.9449317518170621
tricky,0.943965216322647
database,0.931721417126583
restore,0.9261943092389935
outlier,0.9248247610476733
syntax,0.9247255154673966
format,0.9093428764842806
add,0.9081676463657299
package,0.9011328143276071
color,0.8986232300183296
free,0.8840901547034319
fun,0.8798619317472691
explicitly,0.8795677142901795
ponder,0.8759139976332747
copy,0.8749828162601022
struggle,0.8712660291238952
real,0.864104516524592
operator,0.8614908603876744
rid,0.8505932385228164
bit,0.8441232747282852
environment,0.8428154235610354
clean,0.8289807848244629
mark,0.8250043805941117
row,0.8240191790883005
bright,0.8203301878293385
red,0.8199837069249698
transition,0.8185468094841024
way,0.8086818608063664
expert,0.8034204315476108
crunch,0.7990096130144888
new,0.7983041585406806
library,0.7970710795348136
take,0.7887244992731679
great,0.7877784056643742
habit,0.7867994151509922
include,0.760179492829261
chain,0.7478442218539915
pie,0.746533403039983
little,0.7432760851076459
fiddle,0.7333058906830495
sense,0.7328011649332115
process,0.7257622762528686
keep,0.7159884175866676
cherry,0.7003070131497597
understand,0.6946029593662775
work,0.6936801635046954
write,0.692402874227162
sure,0.6803843006116217
learn,0.6760651659937131
appear,0.6703936566215084
part,0.651556999734916
specific,0.6499418453766466
say,0.6473340774210399
thing,0.633447482202118
assume,0.6329508030915688
python,0.6323323164981943
basic,0.6293267515837103
