Individual stats
Participant name,Anonymized name,Contributions(Contrib),Cumulated contribution scores(Scr),Cumulated social KB scores(SocialKB),Degree of inter-animation(InterAnim),In-degree centrality(InDegree),Out-degree centrality(OutDegree),Nouns(NN),Verbs(VB)
3189401,Member 0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0
1780650,Member 1,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0
120635,Member 2,0.0,0.0,0.0,33.81,0.0,0.0,0.0,0.0
1155809,Member 3,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0
2093911,Member 4,0.0,0.0,0.0,6.974,0.0,0.0,0.0,0.0
3862195,Member 5,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0
1802444,Member 6,0.0,0.0,0.0,19.23,0.0,0.0,0.0,0.0
184763,Member 7,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0
242493,Member 8,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0
131162,Member 9,0.0,0.0,0.0,15.804,0.0,0.0,0.0,0.0
2064944,Member 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4522578,Member 11,0.0,0.0,0.0,2.655,0.0,0.0,0.0,0.0
90343,Member 12,0.0,0.0,0.0,24.069,0.0,0.0,0.0,0.0
2530885,Member 13,0.0,0.0,0.0,9.18,0.0,0.0,0.0,0.0
5157234,Member 14,0.0,0.0,0.0,9.755,0.0,0.0,0.0,0.0
475014,Member 15,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
1787288,Member 16,0.0,0.0,0.0,17.3,0.0,0.0,0.0,0.0
2152541,Member 17,0.0,0.0,0.0,1.077,0.0,0.0,0.0,0.0
5083393,Member 18,0.0,0.0,0.0,7.299,0.0,0.0,0.0,0.0
5156286,Member 19,0.0,0.0,0.0,2.051,0.0,0.0,0.0,0.0
1273669,Member 20,0.0,0.0,0.0,10.158,0.0,0.0,0.0,0.0
4884402,Member 21,0.0,0.0,0.0,4.144,0.0,0.0,0.0,0.0
4463644,Member 22,0.0,0.0,0.0,5.519,0.0,0.0,0.0,0.0
